type,spots_available,begin_date,municipality_code
VGO,6,11-07-2022,166
VGO,6,15-04-2022,1959
BSO,80,09-11-2020,1884
VGO,6,11-09-2014,342
BSO,172,01-01-2010,796
KDV,20,10-12-2010,342
VGO,6,27-09-2010,222
VGO,6,30-06-2014,228
VGO,4,08-11-2010,1926
KDV,16,19-12-2019,1924
BSO,34,06-02-2012,1705
KDV,16,01-07-2012,396
VGO,5,21-09-2010,479
BSO,70,01-01-2010,267
VGO,4,15-07-2013,935
VGO,6,28-04-2010,233
BSO,10,23-12-2015,394
BSO,60,01-10-2013,279
KDV,16,14-07-2011,209
VGO,6,21-04-2021,200
BSO,40,01-01-2010,546
KDV,16,26-11-2021,317
VGO,6,07-12-2010,1883
VGO,6,18-09-2018,1586
VGO,6,08-09-2015,668
VGO,6,01-12-2015,1598
VGO,6,31-01-2014,687
VGO,5,09-02-2017,1740
KDV,16,03-12-2020,1891
VGO,5,08-10-2020,1942
VGO,6,20-01-2020,484
VGO,6,28-02-2011,1674
VGO,6,01-10-2019,453
VGO,6,05-12-2017,537
VGO,6,16-11-2017,1699
VGO,6,07-07-2010,175
BSO,20,01-03-2017,1948
KDV,16,26-10-2020,1982
GOB,NaN,01-01-2010,400
GOB,NaN,28-04-2011,629
VGO,6,18-10-2010,150
VGO,6,18-10-2021,748
BSO,60,01-01-2010,193
KDV,28,01-01-2022,784
KDV,44,02-06-2014,119
KDV,52,01-01-2010,363
KDV,32,01-01-2010,375
VGO,6,01-04-2020,1942
VGO,6,10-01-2022,629
VGO,6,04-08-2021,1970
VGO,6,15-07-2022,1655
KDV,14,01-01-2010,267
VGO,6,01-10-2021,505
KDV,10,05-01-2021,503
VGO,6,17-12-2018,118
VGO,6,03-09-2018,163
KDV,100,01-01-2010,518
BSO,94,16-04-2015,362
VGO,6,23-09-2010,1904
VGO,6,02-01-2019,855
VGO,3,03-09-2010,1674
VGO,6,30-09-2010,928
VGO,6,27-09-2010,988
VGO,6,02-11-2010,971
KDV,36,01-01-2010,626
KDV,32,01-10-2005,855
VGO,6,12-10-2010,184
BSO,56,23-08-2010,439
VGO,6,26-08-2010,1940
KDV,16,01-09-2016,1970
VGO,6,17-01-2020,758
VGO,6,23-06-2020,14
VGO,2,20-10-2010,363
VGO,2,01-11-2019,1948
KDV,16,01-01-2017,171
KDV,48,01-01-2010,193
KDV,16,15-06-2017,302
VGO,4,31-03-2014,200
KDV,15,01-05-2010,363
BSO,63,01-01-2010,965
VGO,6,16-05-2018,772
KDV,31,01-01-2010,1940
KDV,60,12-01-2015,303
VGO,6,24-09-2020,984
VGO,6,16-11-2012,840
KDV,16,09-11-2016,34
VGO,6,17-02-2012,1771
VGO,3,09-07-2020,361
BSO,140,01-08-2010,383
KDV,16,13-08-2012,840
BSO,34,01-01-2010,637
BSO,32,28-08-2018,753
VGO,6,27-07-2010,717
VGO,6,19-08-2010,1900
KDV,30,13-07-2011,1598
VGO,6,13-10-2015,599
BSO,90,01-01-2010,344
KDV,50,01-10-2021,866
KDV,102,12-07-2010,518
BSO,20,13-05-2019,355
KDV,70,01-01-2010,344
BSO,45,01-01-2010,394
VGO,6,27-01-2022,1586
KDV,64,01-08-2022,1659
VGO,6,12-04-2021,222
BSO,22,28-05-2019,1709
BSO,20,06-07-2020,737
KDV,64,14-08-2002,935
VGO,6,19-08-2010,148
VGO,6,19-11-2010,375
VGO,6,06-07-2010,855
VGO,6,10-12-2010,47
BSO,40,03-09-2012,479
VGO,6,27-05-2010,267
VGO,6,01-09-2010,1724
VGO,5,15-11-2020,175
KDV,24,09-08-2010,599
KDV,28,17-05-2005,200
VGO,6,02-08-2016,114
BSO,8,01-06-2021,772
VGO,6,18-08-2011,1525
BSO,24,02-01-2017,1961
VGO,6,10-06-2021,678
VGO,6,05-09-2019,437
VGO,6,20-07-2010,632
VGO,6,20-02-2020,307
VGO,6,13-06-2013,1708
VGO,6,22-10-2014,1940
VGO,6,12-12-2017,396
BSO,50,16-08-2010,482
VGO,6,17-11-2010,37
VGO,6,10-09-2010,1940
VGO,6,04-02-2015,405
VGO,6,11-01-2021,1507
KDV,30,01-01-2010,1507
BSO,31,20-11-2006,606
VGO,2,19-10-2017,59
VGO,6,31-08-2010,1948
VGO,6,07-12-2015,1774
BSO,40,29-05-2012,1978
VGO,6,02-10-2015,141
KDV,48,13-08-2012,296
VGO,6,12-04-2021,627
VGO,6,02-11-2010,399
KDV,66,23-09-2013,34
KDV,16,28-04-2011,394
VGO,6,09-09-2010,363
VGO,6,19-01-2015,589
KDV,92,01-01-2010,344
VGO,6,19-10-2021,327
VGO,6,31-01-2022,200
BSO,50,01-01-2010,546
BSO,40,08-09-2017,748
VGO,6,20-12-2021,184
KDV,16,21-07-2014,119
KDV,16,03-12-2020,363
BSO,100,01-01-2010,479
BSO,88,21-10-2021,855
VGO,2,09-09-2010,232
VGO,6,27-09-2010,505
KDV,78,01-01-2005,200
BSO,70,01-01-2010,599
VGO,6,28-01-2022,840
BSO,224,20-10-2010,363
VGO,6,17-08-2010,867
VGO,6,06-07-2010,200
VGO,6,01-08-2014,796
VGO,6,06-08-2010,627
KDV,34,01-01-2010,518
VGO,6,19-08-2010,1900
BSO,55,01-01-2010,400
BSO,33,25-08-2006,200
VGO,6,15-04-2013,335
GOB,NaN,01-01-2010,1979
KDV,62,23-09-2011,518
BSO,90,06-01-2014,855
VGO,6,20-01-2020,1708
BSO,44,01-01-2014,1963
VGO,6,01-07-2014,1883
BSO,66,25-08-2016,678
VGO,6,23-12-2013,928
VGO,6,29-03-2018,518
KDV,58,01-03-2017,175
VGO,6,20-08-2010,59
KDV,14,24-11-2016,47
VGO,6,29-05-2019,1699
VGO,6,14-10-2010,1742
BSO,80,01-01-2010,479
VGO,6,17-12-2015,715
BSO,24,24-05-2022,37
VGO,5,06-10-2015,200
VGO,6,01-09-2011,163
VGO,6,14-09-2020,1581
BSO,20,18-01-2021,14
VGO,6,31-03-2017,1740
VGO,6,30-06-2015,150
VGO,6,01-11-2018,579
BSO,36,16-05-2022,824
BSO,40,01-05-2011,14
KDV,16,17-01-2017,275
BSO,36,03-01-2013,715
VGO,4,25-11-2021,748
VGO,1,12-10-2010,809
VGO,6,01-12-2010,317
BSO,30,13-09-2010,377
BSO,100,01-01-2010,356
VGO,6,23-02-2021,37
BSO,35,17-01-2011,299
VGO,6,08-01-2018,1991
VGO,6,13-11-2017,599
KDV,64,01-01-2010,855
KDV,16,01-08-2022,1952
BSO,40,01-01-2010,361
VGO,6,28-04-2022,1970
KDV,48,01-01-2010,352
VGO,6,08-02-2022,796
BSO,22,01-01-2010,1900
VGO,6,19-11-2010,542
BSO,40,07-03-2016,402
KDV,16,07-12-2012,268
VGO,6,12-10-2021,1982
BSO,50,11-02-2019,852
VGO,6,06-10-2010,243
VGO,6,08-04-2019,1982
KDV,32,01-09-2015,957
VGO,4,22-04-2015,772
VGO,6,19-04-2022,118
VGO,6,19-08-2021,171
VGO,6,01-08-2012,86
KDV,32,16-08-2011,453
VGO,6,26-10-2010,1911
BSO,32,27-03-2017,118
KDV,22,27-12-2017,505
BSO,45,22-09-2014,599
BSO,40,13-08-2007,1991
KDV,21,01-01-2010,14
KDV,32,01-09-2017,1742
BSO,80,01-01-2010,503
BSO,30,25-11-2021,758
VGO,6,27-10-2021,1669
VGO,6,06-10-2010,439
